report_id,coder_id,article_id,city,event_date,side,tactics,participants,num_participants,part_violence,police_eng,end_activity,dist_cause,slogans
1408,03,1528717805Berlin_article_1976,Berlin,2015-01-05,pro-pegida,demonstration,Pegida,NA,NA,NA,2,counter-demonstrators,NA
1409,03,1528717805Berlin_article_1976,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,Regierung Berlin,NA,NA,NA,NA,NA,NA
1410,03,1528717693Berlin_article_1971,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,SPD;Die Linke;unions;Bundesregierung;Regierung Berlin;Senat Berlin;Bundestag;Die Grünen,5000,NA,NA,NA,NA,NA
1411,03,1528717651Berlin_article_1969,Berlin,2015-01-05,anti-pegida,demonstration,NA,5000,NA,NA,NA,NA,NA
1412,03,1528717618Berlin_article_1968,Berlin,2015-01-05,anti-pegida,demonstration,NA,2000,NA,NA,NA,NA,NA
1413,03,1528717596Berlin_article_1967,Berlin,2015-01-05,anti-pegida,demonstration;blockade,Türkischer Bund;Turkish Community,2000,NA,0,NA,NA,NA
1414,03,1528717596Berlin_article_1967,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,300,NA,0,2,counter-demonstrators,NA
1415,03,1528717574Berlin_article_1966,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,300,NA,NA,2,counter-demonstrators,NA
1416,03,1528717574Berlin_article_1966,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,Regierung Berlin,5000,NA,NA,NA,NA,NA
1417,03,1528717530Berlin_article_1964,Berlin,2015-01-05,pro-pegida,demonstration,Pegida,300,NA,NA,NA,NA,NA
1418,03,1528717530Berlin_article_1964,Berlin,2015-01-05,anti-pegida,demonstration;darkening,Senat Berlin,5000,NA,NA,NA,NA,NA
1419,03,1528717386Berlin_article_1962,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,300,NA,0,2,counter-demonstrators,"Wir sind das Volk;Lügenpresse;Räumen, räumen, räumen!"
1420,03,1528717386Berlin_article_1962,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,Bundesregierung;SPD;Die Linke;unions;Antifa;Senat Berlin,5000,2,2,NA,NA,NA
1421,03,1528717362Berlin_article_1961,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,400,NA,0,2,counter-demonstrators,NA
1422,03,1528717362Berlin_article_1961,Berlin,2015-01-05,anti-pegida,demonstration;blockade,Bundesregierung;SPD;Die Linke;unions;Antifa;Regierung Berlin;Die Grünen,5000,2,2,NA,NA,NA
1423,03,1528717320Berlin_article_1959,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida;hooligans,400,3,0,2,counter-demonstrators,Keine Islamisirung Europas (sic)
1424,03,1528717320Berlin_article_1959,Berlin,2015-01-05,anti-pegida,demonstration;blockade;darkening,Bündnis gegen Rassismus;Türkischer Bund;Piratenpartei;Bundesregierung;Regierung Berlin;SPD;Die Grünen,5000,2,2,NA,NA,NA
1425,03,1528717275Berlin_article_1957,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida;neonazis,300,NA,0,2,counter-demonstrators,AfD forever;Lügenpresse. Lügenpresse!
1426,03,1528717275Berlin_article_1957,Berlin,2015-01-05,anti-pegida,demonstrations;blockade;darkening,Senat Berlin;Bundesregierung;SPD,5000,NA,0,NA,NA,NA
1427,03,1528716887Berlin_article_1944,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,300,NA,NA,NA,NA,NA
1428,03,1528716887Berlin_article_1944,Berlin,2015-01-05,anti-pegida,demonstration;darkening,Senat Berlin,5000,NA,NA,NA,NA,NA
1429,03,1528716733Berlin_article_1937,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,300,NA,NA,NA,NA,NA
1430,03,1528716733Berlin_article_1937,Berlin,2015-01-05,anti-pegida,demonstration,NA,5000,NA,NA,NA,NA,NA
1431,03,1528716433Berlin_article_1923,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,500,NA,0,2,counter-demonstrators,NA
1432,03,1528716433Berlin_article_1923,Berlin,2015-01-05,anti-pegida,demonstration,NA,5000,3,0,NA,NA,NA
1433,03,1528715423Berlin_article_1882,Berlin,2015-01-12,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
1434,03,1528715333Berlin_article_1878,Berlin,2015-01-13,pro-pegida,demonstration,Bärgida;neonazis;NPD,500,NA,NA,2,counter-demonstrators,Je Suis Charlie;Lügenpresse
1435,03,1528715333Berlin_article_1878,Berlin,2015-01-13,anti-pegida,demonstration;blockade,Bundesregierung;Regierung Berlin;SPD,4300,NA,NA,NA,NA,Wir sind Charlie. Wir sind nicht Pegida.
1436,03,1528715287Berlin_article_1876,Berlin,2015-01-13,anti-pegida,demonstration,NA,4000,NA,NA,NA,NA,NA
1437,03,1528715264Berlin_article_1875,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,400,NA,NA,NA,NA,NA
1438,03,1528715264Berlin_article_1875,Berlin,2015-01-12,anti-pegida,demonstration,NA,4000,NA,NA,NA,NA,NA
1439,03,1528715219Berlin_article_1873,Berlin,2015-01-12,anti-pegida,demonstration,NA,4000,NA,NA,NA,NA,Wir sind Charlie. Wir sind nicht Pegida.
1440,03,1528715195Berlin_article_1872,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,400,0,0,NA,NA,NA
1441,03,1528715195Berlin_article_1872,Berlin,2015-01-12,anti-pegida,demonstration,NA,4000,0,0,NA,NA,Wir sind Charlie. Wir sind nicht Pegida.
1442,03,1528715162Berlin_article_1871,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,400,NA,NA,2,counter-demonstrators,NA
1443,03,1528715162Berlin_article_1871,Berlin,2015-01-12,anti-pegida,demonstration;blockade,NA,200,NA,NA,NA,NA,NA
1444,03,1528715032Berlin_article_1865,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,400,NA,0,NA,NA,NA
1445,03,1528715032Berlin_article_1865,Berlin,2015-01-12,anti-pegida,demonstration,NA,4000,NA,0,NA,NA,Wir sind Charlie. Wir sind nicht Pegida.
1446,03,1528714986Berlin_article_1863,Berlin,2015-01-13,pro-pegida,demonstration,Bärgida,400,NA,NA,NA,NA,NA
1447,03,1528714986Berlin_article_1863,Berlin,2015-01-13,anti-pegida,demonstration,NA,4000,NA,NA,NA,NA,NA
1448,03,1528714963Berlin_article_1862,Berlin,2015-01-12,anti-pegida,demonstration,NA,4000,NA,NA,NA,NA,NA
1449,03,1528714898Berlin_article_1859,Berlin,2015-01-12,anti-pegida,demonstration,SPD;Bundesregierung;Regierung Berlin;Turkish Community Germany,4000,NA,NA,NA,NA,Wir sind Charlie. Wir sind nicht Pegida.
1450,03,1528714806Berlin_article_1855,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida;NPD,400,NA,NA,NA,NA,NA
1451,03,1528714806Berlin_article_1855,Berlin,2015-01-12,anti-pegida,demonstration,NA,4000,NA,NA,NA,NA,NA
1452,03,1528714785Berlin_article_1854,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,600,NA,NA,NA,NA,NA
1453,03,1528714785Berlin_article_1854,Berlin,2015-01-12,anti-pegida,demonstration,NA,700,NA,NA,NA,NA,NA
1454,03,1528714762Berlin_article_1853,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,400,0,0,2,counter-demonstrators,NA
1455,03,1528714762Berlin_article_1853,Berlin,2015-01-12,anti-pegida,demonstration;blockade,Bundesregierung;Regierung Berlin;SPD,4000,0,0,NA,NA,NA
1456,03,1528714739Berlin_article_1852,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida,400,NA,0,2,counter-demonstrators,Wir sind das Volk;Je suis Charlie;Volksverräter.
1457,03,1528714739Berlin_article_1852,Berlin,2015-01-12,anti-pegida,demonstration;singing,Nopegida,4000,NA,0,NA,NA,Wir sind das Volk
1458,03,1528714695Berlin_article_1850,Berlin,2015-01-13,pro-pegida,demonstration,Bärgida,NA,NA,NA,NA,NA,NA
1459,03,1528714695Berlin_article_1850,Berlin,2015-01-13,anti-pegida,demonstration,Nopegida;Regierung Berlin;SPD;Die Grünen,2000,NA,NA,NA,NA,NA
1460,03,1528714673Berlin_article_1849,Berlin,2015-01-12,pro-pegida,demonstration,Bärgida;NPD,400,NA,0,2,counter-demonstrators,Freiheit ist immer die Freiheit des Andersdenkenden;Je suis Charlie
1461,03,1528714673Berlin_article_1849,Berlin,2015-01-12,anti-pegida,demonstration;blockade,Nopegida;Regierung Berlin;SPD;Die Grünen,5000,NA,0,NA,NA,NA
1462,03,1528712534Berlin_article_1763,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,400,NA,0,NA,NA,NA
1463,03,1528712534Berlin_article_1763,Berlin,2015-01-19,anti-pegida,demonstration,NA,1000,NA,0,NA,NA,NA
1464,03,1528712445Berlin_article_1759,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,400,NA,0,2,counter-demonstrators,Merkel muss weg;Wir sind das Volk;Volksverräter
1465,03,1528712445Berlin_article_1759,Berlin,2015-01-19,anti-pegida,demonstration;blockade,leftists;Türkischer Bund;Kino International,1000,NA,0,NA,NA,Haut ab;No Bärgida - Wir sind bunt - No Racism
1466,03,1528712378Berlin_article_1756,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,300,NA,NA,NA,NA,NA
1467,03,1528712378Berlin_article_1756,Berlin,2015-01-19,anti-pegida,demonstration,NA,1000,NA,NA,NA,NA,NA
1468,03,1528712091Berlin_article_1748,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,400,NA,0,NA,NA,NA
1469,03,1528712091Berlin_article_1748,Berlin,2015-01-19,anti-pegida,demonstration,NA,1000,NA,0,NA,NA,NA
1470,03,1528712003Berlin_article_1744,Berlin,2015-01-19,pro-pegida,demonstration,Pegida,NA,NA,NA,NA,NA,NA
1471,03,1528711849Berlin_article_1737,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,300,NA,NA,NA,NA,NA
1472,03,1528711849Berlin_article_1737,Berlin,2015-01-19,anti-pegida,demonstration,NA,200,NA,NA,NA,NA,NA
1473,03,1528711828Berlin_article_1736,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,300,NA,NA,NA,NA,NA
1474,03,1528711828Berlin_article_1736,Berlin,2015-01-19,anti-pegida,demonstration,NA,200,NA,NA,NA,NA,NA
1475,03,1528711764Berlin_article_1733,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,400,NA,NA,NA,NA,NA
1476,03,1528711764Berlin_article_1733,Berlin,2015-01-19,anti-pegida,demonstration,NA,200,NA,NA,NA,NA,NA
1477,03,1528711742Berlin_article_1732,Berlin,2015-01-19,pro-pegida,demonstration,Bärgida,400,NA,NA,NA,NA,NA
1478,03,1528711742Berlin_article_1732,Berlin,2015-01-19,anti-pegida,demonstration,NA,200,NA,NA,NA,NA,NA
1479,03,1528711742Berlin_article_1732,Berlin,2015-01-19,anti-pegida,demonstration,leftists,150,NA,NA,NA,NA,Haut ab
1480,03,1528711697Berlin_article_1730,Berlin,2015-01-20,pro-pegida,demonstration,Bärgida,400,NA,0,NA,NA,NA
1481,03,1528711697Berlin_article_1730,Berlin,2015-01-20,anti-pegida,demonstration,NA,600,NA,0,NA,NA,NA
1482,03,1528709379Berlin_article_1641,Berlin,2015-01-26,pro-pegida,demonstration,Bärgida,550,NA,0,NA,NA,NA
1483,03,1528709379Berlin_article_1641,Berlin,2015-01-26,anti-pegida,demonstration,NA,1100,NA,0,NA,NA,NA
1484,03,1528709357Berlin_article_1640,Berlin,2015-01-27,pro-pegida,demonstration,Pegida,NA,NA,0,NA,NA,NA
1485,03,1528709357Berlin_article_1640,Berlin,2015-01-27,anti-pegida,demonstration,NA,NA,NA,0,NA,NA,NA
1486,03,1528709147Berlin_article_1635,Berlin,2015-01-27,pro-pegida,demonstration,Bärgida,300,NA,0,NA,NA,NA
1487,03,1528709147Berlin_article_1635,Berlin,2015-01-27,anti-pegida,demonstration,NA,750,NA,0,NA,NA,NA
1488,03,1528707933Berlin_article_1581,Berlin,2015-02-01,anti-pegida,demonstration;fair,Vielfalt Berlin;Bezirk Berlin-Mitte;SPD;musicians;refugees,5000,NA,NA,NA,NA,Die Welt ist 1. Heimat;Bunt ist gesund
1489,03,1528707912Berlin_article_1580,Berlin,2015-02-01,anti-pegida,demonstration;fair,Vielfalt Berlin;musicians;refugees,NA,NA,NA,NA,NA,NA
1490,03,1528707858Berlin_article_1578,Berlin,2015-02-02,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
1491,03,1528707267Berlin_article_1552,Berlin,2015-02-02,pro-pegida,demonstration,Pegida,230,NA,0,NA,NA,NA
1492,03,1528707043Berlin_article_1542,Berlin,2015-02-09,pro-pegida,demonstration,Bärgida,300,NA,0,0,NA,NA
1493,03,1528707021Berlin_article_1541,Berlin,2015-02-09,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
1494,03,1528707001Berlin_article_1540,Berlin,2015-02-09,pro-pegida,demonstration,Bärgida,300,NA,NA,0,NA,NA
1495,03,1528459184Berlin_article_958,Berlin,2015-11-19,anti-pegida,demonstration;strike,students;apprentices,NA,NA,0,NA,NA,"Ob Pegida oder Staat, brennende Heime sind die Früchte ihrer Saat."
1496,03,1528453431Berlin_article_801,Berlin,2015-11-21,pro-pegida,demonstration,Internationaler Konvent der Russlanddeutschen;Bärgida,700,NA,NA,NA,NA,NA
