city,event_date,side,media_reports,events,participants_mean,participants_max,participants_min,part_violence,sec_engagement
Dresden,2016-06-20,pro-pegida,2,1,1800,1800,1800,0,NA
Dresden,2016-06-20,anti-pegida,2,1,24,24,24,0,NA
Dresden,2016-07-20,pro-pegida,1,1,NA,NA,NA,3,0
Dresden,2016-07-20,anti-pegida,1,1,NA,NA,NA,NA,0
Dresden,2016-09-26,pro-pegida,6,2,2126,2950,60,NA,NA
Dresden,2016-09-26,anti-pegida,3,1,60,60,60,NA,NA
Dresden,2016-10-03,pro-pegida,17,1,2631,5000,100,0,0
Dresden,2016-10-03,anti-pegida,1,1,200,200,200,NA,0
Dresden,2016-10-16,pro-pegida,10,1,7000,8500,5000,0,0
Dresden,2016-10-16,anti-pegida,10,1,200,200,200,0,0
Dresden,2016-10-17,anti-pegida,6,2,3417,5500,2000,0,0
Dresden,2016-10-31,pro-pegida,1,1,1800,1800,1800,0,0
Dresden,2016-10-31,anti-pegida,1,1,150,150,150,0,0
Dresden,2016-11-21,pro-pegida,2,1,2800,2800,2800,NA,NA
Dresden,2016-11-21,anti-pegida,2,1,240,240,240,NA,NA
Dresden,2016-11-28,pro-pegida,1,1,NA,NA,NA,0,0
Dresden,2016-11-28,anti-pegida,1,1,20,20,20,0,0
Dresden,2016-12-18,pro-pegida,2,1,3000,3000,3000,NA,0
Dresden,2016-12-18,anti-pegida,2,2,1400,1400,1400,NA,0
Dresden,2017-01-09,pro-pegida,1,1,2200,2200,2200,NA,NA
Dresden,2017-01-09,anti-pegida,1,1,100,100,100,NA,NA
Dresden,2017-01-23,pro-pegida,3,1,1800,2000,1700,NA,NA
Dresden,2017-01-23,anti-pegida,4,1,1000,1000,1000,NA,NA
Dresden,2017-02-06,pro-pegida,1,1,1600,1600,1600,NA,NA
Dresden,2017-02-07,pro-pegida,5,1,120,200,100,3,0
Dresden,2017-02-13,pro-pegida,1,1,NA,NA,NA,NA,0
Dresden,2017-02-20,pro-pegida,1,1,1800,1800,1800,NA,0
Dresden,2017-02-20,anti-pegida,1,1,200,200,200,NA,0
Dresden,2017-03-27,pro-pegida,3,1,NA,NA,NA,NA,0
Dresden,2017-03-27,anti-pegida,3,1,NA,NA,NA,NA,0
Dresden,2017-03-28,pro-pegida,1,1,2000,2000,2000,NA,0
Dresden,2017-03-28,anti-pegida,1,1,NA,NA,NA,NA,0
Dresden,2017-05-06,pro-pegida,1,1,200,200,200,0,1
Dresden,2017-05-06,anti-pegida,1,1,500,500,500,0,1
Dresden,2017-05-08,pro-pegida,2,1,2200,2400,2000,NA,NA
Dresden,2017-05-15,pro-pegida,1,1,2000,2000,2000,0,NA
Dresden,2017-05-15,anti-pegida,1,1,100,100,100,0,NA
Dresden,2017-05-29,pro-pegida,1,1,1600,1600,1600,NA,NA
Dresden,2017-05-29,anti-pegida,1,1,190,190,190,NA,NA
Dresden,2017-06-05,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-06-11,pro-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2017-06-12,pro-pegida,1,1,2000,2000,2000,NA,NA
Dresden,2017-06-19,pro-pegida,1,1,NA,NA,NA,3,NA
Dresden,2017-06-19,anti-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2017-06-26,pro-pegida,1,1,2000,2000,2000,NA,0
Dresden,2017-06-26,anti-pegida,1,1,24,24,24,NA,0
Dresden,2017-07-03,pro-pegida,2,1,1500,2000,1000,3,0
Dresden,2017-07-03,anti-pegida,2,1,200,200,200,NA,0
Dresden,2017-07-10,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-07-10,anti-pegida,1,1,80,80,80,NA,NA
Dresden,2017-07-17,pro-pegida,6,1,260,500,200,0,0
Dresden,2017-07-17,anti-pegida,2,1,62,100,24,0,0
Dresden,2017-07-24,pro-pegida,1,1,1000,1000,1000,NA,NA
Dresden,2017-07-24,anti-pegida,1,1,100,100,100,NA,NA
Dresden,2017-07-31,pro-pegida,1,1,1400,1400,1400,NA,NA
Dresden,2017-08-07,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-08-14,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-08-21,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-08-28,pro-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2017-09-04,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-09-08,pro-pegida,2,1,12,12,12,NA,0
Dresden,2017-09-19,pro-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2017-09-19,anti-pegida,1,3,NA,NA,NA,NA,NA
Dresden,2017-09-25,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-10-17,pro-pegida,1,1,2000,2000,2000,NA,NA
Dresden,2017-10-28,pro-pegida,4,1,2967,3000,2900,NA,1
